WKT	NAME	NAME_EN	NAME_RU	RAILWAY	GAUGE	SERVICE	BRIDGE	TUNNEL	OSM_TYPE	OSM_ID
"LINESTRING (20.4731758 54.9560324,20.47318 54.9556507,20.4731318 54.9552877,20.4730358 54.955038,20.4729136 54.9547845,20.4727783 54.9545542,20.472615 54.9543464,20.4724012 54.9541185,20.4721472 54.9538842,20.4718355 54.953686,20.4715045 54.9534922,20.4711226 54.9533193,20.4706332 54.9531363)"				rail	"1520"				way	"36967913"
"LINESTRING (20.4890162 54.7065226,20.4889139 54.7066714,20.4880088 54.7081435,20.4877187 54.7086179,20.4874744 54.7090984,20.4872843 54.7095958,20.4871578 54.7100987)"				rail	"1520"				way	"26167457"
"LINESTRING (20.4602173 54.723296,20.4606365 54.7235586,20.4620667 54.7241966,20.4625358 54.724349,20.4640885 54.7247034,20.4643737 54.7247654,20.4654092 54.7249798,20.4665358 54.7252192,20.468688 54.7257039,20.4692044 54.7258108,20.4694941 54.7258707,20.4695624 54.7258848,20.4697626 54.7259262,20.4708589 54.726172,20.4741742 54.7268977,20.4744047 54.7269479,20.4744743 54.7269631,20.474561 54.7269827,20.4758725 54.72728,20.4773549 54.7276107,20.4785826 54.7278468,20.4786851 54.7278665,20.4787637 54.7278838,20.479197 54.7279794,20.4803858 54.7282408,20.4812102 54.7284113,20.4814839 54.7284703,20.4815829 54.7284882,20.481697 54.7285117,20.4839822 54.7290442,20.4860233 54.7294672,20.4881311 54.7297983,20.4898329 54.7301929,20.4900381 54.7302397,20.4901308 54.7302638,20.4902055 54.730267,20.4916964 54.7292648,20.493857 54.7274038,20.4941109 54.7271851,20.4949598 54.7265358,20.4959486 54.725704,20.4960149 54.7256598,20.4973775 54.7247527,20.4977763 54.7244642,20.4988198 54.7232255,20.4990209 54.7228638,20.4990934 54.7225747,20.4990878 54.7224089,20.4990754 54.7223227,20.4988802 54.7215891,20.4987105 54.72086)"				tram					way	"40518042"
"LINESTRING (20.4919175 54.6931509,20.4919312 54.6930589,20.4919834 54.6929447,20.4920739 54.6927211,20.4921535 54.692453,20.4922578 54.6921073,20.4923153 54.6917478)"				rail	"1520"	yard			way	"78619758"
"LINESTRING (20.4923017 54.6929082,20.4924142 54.6920835,20.4924389 54.6917488)"				rail	"1520"	yard			way	"78621386"
"LINESTRING (20.527608 54.7423534,20.527403 54.742175)"				rail	"1520"		yes		way	"42920513"
"LINESTRING (20.4910427 54.6952133,20.4913529 54.6952072,20.4918061 54.69518,20.4920864 54.6951531,20.4926267 54.6950822,20.493041 54.6950094,20.4933988 54.6949177,20.4937188 54.6948161,20.4940516 54.6946973,20.4944327 54.6945604,20.4962743 54.6938482,20.4970744 54.6935556,20.4983239 54.6931141,20.5003801 54.6923778,20.5007581 54.6922285,20.5011248 54.6920693,20.501806 54.6917357)"				rail	"1520"				way	"43062350"
"LINESTRING (20.3267257 54.5657776,20.3213083 54.5624527,20.3207375 54.5618402,20.319922 54.5610132,20.3192182 54.5600738,20.3182386 54.55872,20.3175351 54.557695,20.3173746 54.5571007,20.3172178 54.5565013,20.3172247 54.555791,20.3173791 54.5544772,20.322014 54.5462137,20.322529 54.5435251,20.3227006 54.5405377,20.3233873 54.5371516,20.3232156 54.5348609,20.3225827 54.5331652,20.3200015 54.5315776,20.3178382 54.5297536,20.3166592 54.527952,20.3155379 54.5251014,20.3142494 54.5233654,20.301324 54.5152217,20.2926433 54.5063982,20.2861613 54.5006148,20.2834476 54.4976034,20.2800466 54.4952052,20.2759449 54.4921116,20.2740148 54.4904687,20.2718937 54.4890322,20.2701712 54.4871243,20.2646984 54.4815613,20.2639964 54.4795204,20.263888 54.4755096,20.2637765 54.4736618,20.2635737 54.4714106,20.2651337 54.4685481,20.265639 54.4669993,20.2657441 54.4659605,20.2653858 54.46509,20.2642324 54.46399,20.2622487 54.4628713,20.2597532 54.4615225,20.259044 54.4605452,20.2589399 54.4593703,20.2595826 54.4579784,20.2608303 54.4566855,20.2626929 54.4556994,20.2662688 54.4542512,20.2754291 54.4507519)"				abandoned					way	"46963020"
"LINESTRING (20.4727558 54.9585197,20.4731758 54.9560324,20.4734226 54.9547049,20.4735735 54.9537583,20.4744797 54.9489044,20.4747024 54.9475948)"	"1"			rail	"1520"				way	"24528138"
"LINESTRING (20.2960942 54.7362758,20.2867159 54.7357794)"				rail					way	"40579870"
"LINESTRING (20.5220906 54.6817278,20.5224386 54.6815634)"				rail	"1520"		yes		way	"41754808"
"LINESTRING (20.502312 54.6920178,20.5025561 54.6918095)"				rail	"1520"		yes		way	"42321048"
"LINESTRING (20.4690785 54.681471,20.4690246 54.6814761)"	Киевская улица			tram					way	"42321051"
"LINESTRING (20.5005945 54.7210555,20.5001879 54.7207444,20.4989064 54.719823)"				rail	"1520"			yes	way	"42739951"
"LINESTRING (20.4911489 54.6989025,20.4910012 54.6991952,20.490892 54.6994964,20.4908283 54.6998421,20.4908295 54.7001765,20.4911115 54.702484,20.4911291 54.702655,20.4911232 54.7029478,20.4910587 54.7032011,20.490939 54.7034886,20.490571 54.7041129,20.4903378 54.7046282,20.4902473 54.7047759)"				rail	"1520"				way	"42739953"
"LINESTRING (20.4930868 54.6875219,20.4933278 54.6874114,20.4940227 54.6872122,20.4947699 54.6870447,20.4950846 54.6869612)"				rail		yard			way	"78626421"
"LINESTRING (20.47137 54.6981373,20.4711454 54.6981177,20.4698188 54.6980021,20.4690763 54.6979756,20.4683236 54.6979756,20.467815 54.6979756,20.4670878 54.698099,20.465918 54.6984194,20.46455 54.6987133,20.4643876 54.6987449,20.464021 54.6988162,20.463487 54.698922,20.4613813 54.6994054)"				rail	"1520"	spur			way	"86334799"
"LINESTRING (20.2051902 54.720773,20.2052526 54.7210282)"				rail		spur	yes		way	"78636526"
"LINESTRING (20.1863607 54.755598,20.1745107 54.754622,20.1731374 54.7544424,20.1717105 54.7540957,20.1709983 54.7538467,20.1706712 54.7536517)"				rail		spur			way	"79532774"
"LINESTRING (20.5048187 54.7270218,20.5047901 54.7263056,20.5047267 54.7257871,20.5045554 54.725211,20.5041919 54.7245445,20.5036683 54.7239292,20.500944 54.7213645,20.5005945 54.7210555)"				rail	"1520"				way	"80042864"
"LINESTRING (20.4665301 54.6758012,20.4670728 54.6756415,20.4676631 54.6754599,20.4701339 54.6745515,20.4720653 54.6738934,20.4727998 54.6736431,20.4753849 54.6727237)"				rail	"1520"	spur			way	"78188726"
